Team,Player,Positions,Lineup_Slot,Status
adam's Astounding Team,Luis Garcia Jr.,2B/2B/SS/IF/UTIL/BE/IL/1B/1B/3B,UTIL,Rostered
adam's Astounding Team,Kyle Manzardo,1B/1B/3B/IF/DH/UTIL/BE/IL,1B,Rostered
adam's Astounding Team,Brad Keller,P/RP/BE/IL,RP,Rostered
adam's Astounding Team,Louis Varland,P/RP/BE/IL,RP,Rostered
adam's Astounding Team,Connelly Early,P/SP/BE/IL,SP,Rostered
adam's Astounding Team,Lucas Erceg,P/RP/BE/IL,RP,Rostered
adam's Astounding Team,Brad Lord,P/SP/RP/BE/IL,RP,Rostered
adam's Astounding Team,Mitch Keller,P/SP/BE/IL,P,Rostered
adam's Astounding Team,Matt Strahm,P/RP/BE/IL,RP,Rostered
adam's Astounding Team,Matt Svanson,P/RP/BE/IL,RP,Rostered
adam's Astounding Team,Luis Severino,P/SP/BE/IL,P,Rostered
adam's Astounding Team,Grant Holmes,P/SP/BE/IL,SP,Rostered
adam's Astounding Team,Owen Caissie,RF/OF/UTIL/BE/IL,OF,Rostered
adam's Astounding Team,Ezequiel Tovar,SS/2B/SS/IF/UTIL/BE/IL,SS,Rostered
adam's Astounding Team,JR Ritchie,P/SP/BE/IL,SP,Rostered
adam's Astounding Team,Jake Bauers,1B/1B/3B/IF/LF/OF/UTIL/BE/IL,OF,Rostered
